,full_text
44,"@sa11oum @blooz_az @DeadlineDayLive @BILD Got English clubs banned from European competition for killing opposition fans, wore shirts in support of Suarez after he recitals abused Evra, fans sent death threats to Gerrard and his family when he wanted to leave. Wouldn’t call that respect and honour."
45,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
46,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
47,"@PippaCrerar @olya_rudenko @KyivIndependent No wonder we have serious problems with racist, Pakistani grooming gangs grooming, drugging, beating, raping, gang raping &amp; prostituting WHITE girls

L<U+0001F440>K at all the Islamic human rights violations FGM, Servitude, Child Marriage, Honour Killing, Domestic Violence, Inbreeding<U+0001F922><U+0001F92E>"
48,"However, decades of corruption, poverty, honour killing, s***ual assault of women and children, and terrorism has never heralded the end of times. https://t.co/D78iTWz1WC"
49,"@PippaCrerar I'd like to talk about..<U+0001F447>

Racist Pakistani paedophiles &amp; Islam being the <U+0001F4A9>est religion &amp; worst human rights violating culture on earth<U+0001F914>

L<U+0001F440>K at all the Islamic human rights violations.. FGM, Servitude, Child Marriage, Honour Killing, Domestic Violence, Incest, Inbreeding<U+0001F922><U+0001F92E>"
50,"In Tamil Nadu, a couple in an inter-caste relationship eloped and went into hiding. Since the couple could not be found, the girl’s family retaliated by kidnapping the man's sister and killing her. The man comes from a Scheduled Caste background.

https://t.co/nzXgQiUkMg"
51,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
52,"@Bushra1Shaikh @GMB Millions of people on @GBNEWS @GMB rightfully hate you @Bushra1Shaikh

Millions of people from around the world also rightfully hate your religion

L<U+0001F440>K at all the Islamic human rights violations.. FGM, Servitude, Child Marriage, Honour Killing, Domestic Violence, Inbreeding<U+0001F922><U+0001F92E>"
53,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
54,"@Bushra1Shaikh L<U+0001F440>k how many people on this thread rightfully hate you @Bushra1Shaikh

<U+0001F440> millions of people from around the world also rightfully hate your religion

<U+0001F440>at all the Islamic human rights violations.. FGM, Servitude, Child Marriage, Honour Killing, Domestic Violence, Inbreeding<U+0001F922><U+0001F92E>"
55,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
56,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
57,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
58,"@AndreaMurray67 @BolshieBish Beheading is an honour, killing because of some backwards religion. In some shit hole of a country. So yeah if he wasn’t let into this country they would be still alive. While we were locked down on Level5, the government was letting murderers in. This is why people want checks."
59,@cctvidiots What was this? A new honour killing method?
60,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
61,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
62,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
63,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
64,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
65,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
66,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
67,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
68,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
69,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
70,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
71,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
72,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
73,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
74,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
75,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
76,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
77,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
78,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
79,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
80,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
81,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
82,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
83,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
84,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
85,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
86,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
87,RT @SitaRamGoel_Voi: 3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahma…
88,3. Muhmud Shah II Bahmani bestowed on himself the honour of being a ghazi by killing in cold blood the helpless Brahmana priests of the local temple after Hindu warriors had died fighting in defence of the fort at Kondapalli.
89,"@drmalcolmadams @shvibin @KatenCheyenne @ask_aubry Yeah, ""doctor""? Well, it's not ""sh*t a$$"" women committing 99% of global violence, including rape, war, assault, carjacking, kidnapping, women &amp; child trafficking, burglary, child marriage, arson, honour killing, mass shootings, etc. It's men! Stop acting like he's a rarity!"
90,@AvivaKlompas What happened to the killer of Shireen Abu akleh? Or the  47+ child killing idf soilder? (this year alone) And you talking about financial assistance to the martyr family. Every country honour the martyr sacrifice their life for the freedom of nation. Palestine should too.
91,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
92,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
93,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
94,"@str4wberrycvnt1 I feel like they put all the blame on queer people as if rape and honour killing isn't rampant, as if child marriages are not high and the complete lack of empathy in so many people. So much bullying and toxicity but of course being queer is the whole reason for azaab"
95,@Baba_adz @Geshti_Azadi @Ahshjsjj1 Same as honour killing?
96,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
97,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
98,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
99,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
100,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
101,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
102,RT @notaliagain: i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets a…
103,"i think most of you are going too far exposing their college name practically doxxing them. yall do realise these tweets are going to circulate further and in a country such as pakistan where honour killing is so common, you are putting someone's life on risk"
104,"RT @PunjwaniKumar: Either it's Karo Kari (Honour Killing) or Forced Conversion, SINDHI Women are the direct victims.
@AuratMarchKHI @HRCP87…"
105,"@Bushra1Shaikh L<U+0001F440>k how many people on this thread rightfully hate you @Bushra1Shaikh

<U+0001F440> millions of people from around the world also rightfully hate your religion

<U+0001F440>at all the Islamic human rights violations.. FGM, Servitude, Child Marriage, Honour Killing, Domestic Violence, Inbreeding<U+0001F922><U+0001F92E>"
106,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Tue | 11 Apr | 20:19 | BST https://t.co/kvDQpX3CiP
107,"Either it's Karo Kari (Honour Killing) or Forced Conversion, SINDHI Women are the direct victims.
@AuratMarchKHI @HRCP87
@amnestysasia @UNHumanRights

#SindhiSaheb #Sindhuism https://t.co/nNjSMGsD60"
108,@mohdmthrfucker @KarlStrel @AJEnglish death sentence for apostasy is not a rule exception for cross marriages honour killing is there in india is it not renouncing? god less nazi army shot all deserters in the battle still fleeing refugees shot &amp; killed by burmese junta are they muslims? death for leaving rank &amp; file
109,"@rollergirlmtl @PierrePoilievre People can still see your tweet calling out Polilievre for, quote, ""in favor of a niqab ban and a barbaric cultural practices snitch line?"" 

I just mearly added the context of the court case (a mother ""honour"" killing her 3 daughters for how they dressed) that led to those views"
110,@UNSomalia @HassanSMohamud @UN @antonioguterres @UNinSomalia @UNDPPA @UNDPSomalia @OCHASom @PBFSomalia @FAOSomalia @adam_abdelmoula @Kikigbeho @AKacyira @WFPSomalia You have failed to address the Somalia troops allied with alshabab who are amassing in Somaliland border city lasanood to fight Somaliland security forces. Previously you've failed to honour the recommendations of your report on Isaaq genocide. The same genocidaire now killing SL
111,"@abihaasrants Honour killing is done usually in men without gheerah, Are u saying Prophet's was wrong to have protective jealousy? Apny taylor swift catfights par dhayan do"
112,RT @TOICitiesNews: Honour killing: 4 taken into custody in Telangana https://t.co/Cxj4f11lKv
113,"That sounds outlandish! 
UP cops don’t hv time or turn a blind eye if high and mighty rape a child, Dalit women or undertake honour killings!!

But they hv all the time in the world to file a case against killing a rat that damages crops and grains at home in villages!<U+0001F600> https://t.co/6qfS1jAJlL"
114,RT @doctorsaheba: 7. No Honour Killing for Intra Gotra Marriage - I am sure you have heard of Khaap panchayat that led to murder of couples…
115,"Ruhab Memon had stolen a tribal daughter's honour.
Sajid Khan is killing a cow, and the mother cow asked, ""What should I do?""
Why is Bhupesh Sarkar silent about Kawardha's assault on Hinduism?
#<U+092D><U+0942><U+092A><U+0947><U+0936>_<U+0915><U+093E>_<U+091C><U+093F><U+0939><U+093E><U+0926><U+0917><U+0922><U+093C> https://t.co/jaoXEeQ7et"
116,@SoulfulAS Yes it is logical honour killing happens and people can do anything out of jealously
117,@keshavram948 @savemuslimgirls https://t.co/pcR8sxx2K8
118,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Tue | 11 Apr | 8:19 | BST https://t.co/66wrRfoDmn
119,@sanjaysriv @RatanSharda55 https://t.co/pcR8sxx2K8
120,@cocoapiie @sh45738812 @GemsOfBollywood @netflix https://t.co/pcR8sxx2K8
121,"@PNyangli @AsjadR3377 https://t.co/VWlQbUB6L6… Shalini belonging to Vokkaliga community, considered as an upper caste in Karnataka, was studying II PUC and was in love with a Dalit boy from neighbouring Mellahalli village"
122,"@AsjadR3377 https://t.co/VWlQbUB6L6… Shalini belonging to Vokkaliga community, considered as an upper caste in Karnataka, was studying II PUC and was in love with a Dalit boy from neighbouring Mellahalli village"
123,"@mintu1430 @MonikaS97694943 @savemuslimgirls https://t.co/VWlQbUB6L6… Shalini belonging to Vokkaliga community, considered as an upper caste in Karnataka, was studying II PUC and was in love with a Dalit boy from neighbouring Mellahalli village"
124,"@MonikaS97694943 @savemuslimgirls https://t.co/VWlQbUB6L6… Shalini belonging to Vokkaliga community, considered as an upper caste in Karnataka, was studying II PUC and was in love with a Dalit boy from neighbouring Mellahalli village"
125,"@savemuslimgirls https://t.co/VWlQbUB6L6… Shalini belonging to Vokkaliga community, considered as an upper caste in Karnataka, was studying II PUC and was in love with a Dalit boy from neighbouring Mellahalli village,muslim learn from this sanghi not give daughter lower caste,how can we give"
126,"@Delhiite_ https://t.co/pcR8sxx2K8 Shalini belonging to Vokkaliga community, considered as an upper caste in Karnataka, was studying II PUC and was in love with a Dalit boy from neighbouring Mellahalli village"
127,Honour killing: 4 taken into custody in Telangana https://t.co/Cxj4f11lKv
128,Honour killing: 4 taken into custody in Telangana https://t.co/8KdLSTbQmZ
129,RT @idmann_mit: @HAHayatu Let me ask with honest concern for the memory and honour of the departed and displaced respectively since 2014.…
130,@sarunlicious @malaawrites So Maheer &amp;Saad got mugged and the muggers took Maheer bag and Areeb saw the incident hit the muggers with his car and came out with his gun and in return got shot. Areeb mom told police that they suspect #Saad for an attempt of honour killing. So police just dragged him in jail
131,"@RezinaSultana29 @iJasOberoi @madhukishwar @UnSubtleDesi Please don't make a sweeping observation. You probably have seen movies on Dhananjay - Hetal Parekh case. Law says it was rape, hanging is justified. Then again, Bengali speaking mass say, Dhananjay was framed; it was a case of honour killing.
Then all those who watched the 2/3"
132,RT @idmann_mit: @HAHayatu Let me ask with honest concern for the memory and honour of the departed and displaced respectively since 2014.…
133,"@Mubashir_SE Most honour killing happening in pak across the world with over 5000 women killled every year, the report of dawn. 
Racism is in their root whether it's Pashtun, Muhazir, Sindhi they treat them as second class citizen and now you think they r best! 
Just crap!"
134,"@227Grayman @Kahamsha Then let me sd.

i was going to make my move at 3 minute mark . icy chose to wait, so I make next play .

 I have to believe in my self, and that I made the right choice .

there is no honour in a life or death battle, It’s kill or be killed .

killing your self is for  cowards ."
135,"@AhmedLoonat So if someone's family/indigenous homeland has major human rights violations &amp; conflict such as death to apostates, honour killing, FGM, car bombings &amp; more besides. You know like Pakistan, Yemen or Mozambique. You'll be fine with saying no-one should take their family, right?"
136,"@HAHayatu Let me ask with honest concern for the memory and honour of the departed and displaced respectively since 2014.

WHO HAVE BANDITS BEEN KILLING AND DISPLACING AND KIDNAPPING SINCE 2014?

Is there Polling Units at Bandits camps in Zamfara?"
137,i went to the Rijksmuseum today and in honour of the 1 year anniversary of the killing eve finale i’m going to share the pics i took
138,"@Motherl28134473 Of course not all Arabs or Palestinians R not all terrorists. But many are  the proof is irrefutable. They set out to kill civilians, both in the West Bank &amp; Israel, brag about it, consider it valiant, celebrate it, honour those that did the killing and provide financial reward."
139,@Nomaxone @AndyPlumb4 @tractorgirly maybe it's the marrying children? FGM? opression of women? homophobia? hatred of the 'kuffar'? Bombing people? Raping children? Stoning? Beheading? Honour killing? apostatism?
140,"@Samuel_facto @aonanuga1956 Remove ""Sir"" from him.Most of those old folks deserve no honour.Imagine where they brought Nigeria to.For over 60 years they have nothing to show but stealing and killing"
141,"@NarundarM When no such women raise voices against rapists, honour killing while sitting on the highest prestigious chairs. What do you think will change them?"
142,@revmagdalen @eBridget @kevingriff18 https://t.co/pf1i28FT01
143,@Delhiite_ @nhaha25777259 Honour killing is the new norm as well?
144,"@brian__towett Fuck christianity.... If you try this in the Muslim world you are eliminated in what they call ""honour killing"""
145,RT @mopohanga: @WomensSpaceIre @DrUmarAlQadri Not a good idea for Muslim leaders to weigh in here when the women on the escorting site are…
146,"Ist es nicht interessant bei diesen Hollywood Bildern nachzudenken, ob nicht doch tatsächlich eine *Anti Deutsche running Farmers Killing Show* stattgefunden hat.*!? 1964+! Es gab Krebs.Tote. PLASMA WAFFEN honour Show.! GEISELNAHMEN in Mannheim.! Kugelblitz Folter aus USA.*! <U+0001F479><U+0001F6F0><U+FE0F> https://t.co/H5fvOI43ug"
147,"@DavQuinn Because it was what Muslims call an ""Honour"" killing"
148,"<U+0BAE><U+0B95><U+0BB3><U+0BBF><U+0BA9><U+0BCD> <U+0B95><U+0BBE><U+0BA4><U+0BB2><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0B8E><U+0BA4><U+0BBF><U+0BB0><U+0BCD><U+0BAA><U+0BCD><U+0BAA><U+0BC1>… <U+0B95><U+0BBE><U+0BA4><U+0BB2><U+0BA9><U+0BC8> <U+0B86><U+0BA3><U+0BB5><U+0B95><U+0BCD> <U+0B95><U+0BCA><U+0BB2><U+0BC8> <U+0B9A><U+0BC6><U+0BAF><U+0BCD><U+0BA4> <U+0BAA><U+0BC6><U+0BB1><U+0BCD><U+0BB1><U+0BCB><U+0BB0><U+0BCD> ; <U+0BA4><U+0BBF><U+0BB0><U+0BC8><U+0BAA><U+0BCD><U+0BAA><U+0B9F> <U+0BAA><U+0BBE><U+0BA3><U+0BBF><U+0BAF><U+0BBF><U+0BB2><U+0BCD> <U+0B85><U+0BB0><U+0B99><U+0BCD><U+0B95><U+0BC7><U+0BB1><U+0BBF><U+0BAF> <U+0B95><U+0BCA><U+0BB2><U+0BC8> <U+0B9A><U+0BAE><U+0BCD><U+0BAA><U+0BB5><U+0BAE><U+0BCD>!!

#UpdateNews | #Telangana | #Crime | #Murder | #HonourKilling | #TamilNews | #UpdateNews360
https://t.co/tMlL39zAXI"
149,"<U+0BAE><U+0B95><U+0BB3><U+0BBF><U+0BA9><U+0BCD> <U+0B95><U+0BBE><U+0BA4><U+0BB2><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0B8E><U+0BA4><U+0BBF><U+0BB0><U+0BCD><U+0BAA><U+0BCD><U+0BAA><U+0BC1>… <U+0B95><U+0BBE><U+0BA4><U+0BB2><U+0BA9><U+0BC8> <U+0B86><U+0BA3><U+0BB5><U+0B95><U+0BCD> <U+0B95><U+0BCA><U+0BB2><U+0BC8> <U+0B9A><U+0BC6><U+0BAF><U+0BCD><U+0BA4> <U+0BAA><U+0BC6><U+0BB1><U+0BCD><U+0BB1><U+0BCB><U+0BB0><U+0BCD> ; <U+0BA4><U+0BBF><U+0BB0><U+0BC8><U+0BAA><U+0BCD><U+0BAA><U+0B9F> <U+0BAA><U+0BBE><U+0BA3><U+0BBF><U+0BAF><U+0BBF><U+0BB2><U+0BCD> <U+0B85><U+0BB0><U+0B99><U+0BCD><U+0B95><U+0BC7><U+0BB1><U+0BBF><U+0BAF> <U+0B95><U+0BCA><U+0BB2><U+0BC8> <U+0B9A><U+0BAE><U+0BCD><U+0BAA><U+0BB5><U+0BAE><U+0BCD>!!

#UpdateNews | #Telangana | #Crime | #Murder | #HonourKilling | #TamilNews | #UpdateNews360
https://t.co/ol8rZM5235"
150,@SouthlandPost Justified if compare to honour killing in our soceity…  repairable
151,RT @doctorsaheba: 7. No Honour Killing for Intra Gotra Marriage - I am sure you have heard of Khaap panchayat that led to murder of couples…
152,"@CounsellingSam Honour killing. Not that I agree with them, but I'd forgive you in a heartbeat."
153,"@GrahamWard000 @societies_1916 The fact you think that ""lawfully killing"" is a good thing says a lot about you. From what I gather, you're a grown adult. Stop taking childish snipes on the internet at people trying to honour their dead and move on with your life."
154,"@Subbuaithal @Kannada_BO Dhanu crowd pull madde Badava Rascal blockbuster ayta
Headbush 4.5cr first day collection agutta
Headbush 1 week 12.1cr agutta avanige crowd pull mado capacity illa andre
Hoysala is complete story about Honour Killing so wrong time realise bere, but they're safe with collection https://t.co/eHRdVXoOKC"
155,"@annaiah_milan @Kannada_BO Guru ordinary na, movie core plot enu anta artha
Yarigadru guts idiya honour killing bage movie modoke

Nimge Daali solbeku anta aste irodu mind alli, because avnu left wing anta ankodidira, nivu aa manushya interviews ella noddada avnu yavude ideology ge seralla , he is neutral"
156,RT @doctorsaheba: 7. No Honour Killing for Intra Gotra Marriage - I am sure you have heard of Khaap panchayat that led to murder of couples…
157,"7. No Honour Killing for Intra Gotra Marriage - I am sure you have heard of Khaap panchayat that led to murder of couples for marrying within Gotra. Well, here you can also marry your cousin, if you like."
158,@zoo_bear Honour killing hoti hai bhai bharkao mat social media se alag hai ye desh
159,"@RachelRMoran The rumour on escorting forum is that she was muslim and he was displeased that she was working during ramadan, an 'honour killing'."
160,Tiba al-Ali dead – YouTuber strangled to death by own father in ‘honour killing’ after returning home to Iraq | World News | Mon | 10 Apr | 8:19 | BST https://t.co/F1tEhZ5Cb5
